=== 종목 배치 적재 (GICS 계층화) ===

모드: cron (sector_id 재시도)

  섹터 매핑 테이블 로드 중...
  gics_yfinance_map: 176건, sectors L1: 12건, sectors 전체: 220건

[cron] sector_id 미설정 종목 조회 중...
  대상: 10798개

  [123/10798] 950160 (KR): null (매핑 실패)
  [124/10798] 0087F0 (KR): null (매핑 실패)
  [125/10798] 580083 (KR): null (매핑 실패)
  [126/10798] 301410 (KR): null (매핑 실패)
  [127/10798] 489860 (KR): null (매핑 실패)
  [128/10798] 700014 (KR): null (매핑 실패)
  [129/10798] 347850 (KR): sector_id=129
  [130/10798] 086520 (KR): null (매핑 실패)
  [131/10798] 087010 (KR): null (매핑 실패)
  [132/10798] 028300 (KR): sector_id=129
  [133/10798] 141080 (KR): sector_id=129
  [134/10798] 402460 (KR): null (매핑 실패)
  [135/10798] 610013 (KR): null (매핑 실패)
  [136/10798] 760024 (KR): null (매핑 실패)
  [137/10798] 500030 (KR): null (매핑 실패)
  [138/10798] 205720 (KR): null (매핑 실패)
  [139/10798] 291680 (KR): null (매핑 실패)
  [140/10798] 253230 (KR): null (매핑 실패)
  [141/10798] 291620 (KR): null (매핑 실패)
  [142/10798] 580023 (KR): null (매핑 실패)
  [143/10798] 580032 (KR): null (매핑 실패)
  [144/10798] 238670 (KR): null (매핑 실패)
  [145/10798] 0015K0 (KR): null (매핑 실패)
  [146/10798] 476000 (KR): null (매핑 실패)
  [147/10798] 252410 (KR): null (매핑 실패)
  [148/10798] 580047 (KR): null (매핑 실패)
  [149/10798] 530129 (KR): null (매핑 실패)
  [150/10798] 610029 (KR): null (매핑 실패)
  [151/10798] 760028 (KR): null (매핑 실패)
  [152/10798] 570092 (KR): null (매핑 실패)
  [153/10798] 483030 (KR): null (매핑 실패)
  [154/10798] 570098 (KR): null (매핑 실패)
  [155/10798] 0174J0 (KR): null (매핑 실패)
  [156/10798] 411860 (KR): null (매핑 실패)
  [157/10798] 0015F0 (KR): null (매핑 실패)
  [158/10798] 304670 (KR): null (매핑 실패)
  [159/10798] 0184V0 (KR): null (매핑 실패)
  [160/10798] 550098 (KR): null (매핑 실패)
  [161/10798] 500067 (KR): null (매핑 실패)
  [162/10798] 244670 (KR): null (매핑 실패)
  [163/10798] 488210 (KR): null (매핑 실패)
  [164/10798] 250780 (KR): null (매핑 실패)
  [165/10798] 438740 (KR): null (매핑 실패)
  [166/10798] 520084 (KR): null (매핑 실패)
  [167/10798] 487920 (KR): null (매핑 실패)
  [168/10798] 610099 (KR): null (매핑 실패)
  [169/10798] 580062 (KR): null (매핑 실패)
  [170/10798] 580053 (KR): null (매핑 실패)
  [171/10798] 530114 (KR): null (매핑 실패)
  [172/10798] 413220 (KR): null (매핑 실패)
  [173/10798] 570095 (KR): null (매핑 실패)
  [174/10798] 341850 (KR): null (매핑 실패)
  [175/10798] 253280 (KR): null (매핑 실패)
  [176/10798] 280920 (KR): null (매핑 실패)
  [177/10798] 368680 (KR): null (매핑 실패)
  [178/10798] 462340 (KR): null (매핑 실패)
  [179/10798] 550095 (KR): null (매핑 실패)
  [180/10798] 0082F0 (KR): null (매핑 실패)
  [181/10798] 610060 (KR): null (매핑 실패)
  [182/10798] 610076 (KR): null (매핑 실패)
  [183/10798] 272570 (KR): null (매핑 실패)
  [184/10798] 580063 (KR): null (매핑 실패)
  [185/10798] 0021D0 (KR): null (매핑 실패)
